N Proj,Promotor,Designacao,Instrumento,Aviso,Aut Gestao,Org Intermedio,Concelho,Regiao,Sector,CAE (Rev3),Estrategia de Eficiencia Colectiva,Data de Aprovacao,Investimento Elegivel,Incentivo,N Contribuinte do Promotor
31877,"VARZEAMAR VILAMOURA - ACTIVIDADES MARiTIMO TURiSTICAS, LDA",WILDCAT,SI Inovacao/Empreendedorismo Qualificado,13/SI/2012,PO Algarve,TP,Loule,Algarve,Turismo,93293 - Organizacao de actividades de animacao turistica,,26-Mar-13,427500,320625,510105513
31899,"HORACERTA- COMERCIO DE IMPORTAcaO E EXPORTAcaO DE ARTIGOS DE OURIVESARIA E RELOJOARIA, LDA",IMAGINE JEWELLERY,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Algarve,IAPMEI,Lagoa,Algarve,Industria,32122 - Fabricacao de artigos de joalharia e de outros artigos de ourivesaria,,26-Mar-13,150793,98453,503373117
31924,"CANALALGARVE - SOC JORNALiSTICA E EDITORIAL, LDA",ALGARVE EASY GUIDE,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO Algarve,IAPMEI,Faro,Algarve,Servicos,"63990 - Outras actividades dos servicos de informacao, ne",,26-Mar-13,1375450,894043,509840906
26561,"SOPROMAR - ESTALEIRO NAVAL DE LAGOS, LDA",CENTRO NaUTICO SOPROMAR,SI Inovacao/Inovacao Produtiva,02/SI/2012,PO Algarve,TP,Lagos,Algarve,Turismo,93292 - Actividades dos portos de recreio (marinas),PCT do Turismo,26-Mar-13,2376386,1782289,503081027
31930,"VIDROMAX- VIDROS E ESPELHOS, SA",NEW GLASS GENERATION,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Mealhada,Centro,Industria,23120 - Moldagem e transformacao de vidro plano,,20-Mar-13,1843698,1016005,502185236
31945,"MARFILPE - MaRMORES E GRANITOS, SA",MARFILPE_INOVAcaO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Multi-Concelhos,Centro,Industria,23701 - Fabricacao de artigos de marmore e de rochas similares,,20-Mar-13,4062532,2234393,504785117
31946,"ENDUTEX - REVESTIMENTOS TeXTEIS, SA",ESTRATeGIA DE INOVAcaO DE PRODUTOS E INTERNACIONALIZAcaO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Santo Tirso,Norte,Industria,"13993 - Fabricacao de outros texteis diversos, ne",,20-Mar-13,3038357,1318400,504080539
31939,"CLARIAUSE - TINTURARIA E ACABAMENTOS DE FIOS, SA",COLORATION AND FINISHING OF YARNS FUNCTIONALISED - CAFOYF,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Vila Nova de Famalicao,Norte,Industria,13301 - Branqueamento e tingimento,,20-Mar-13,2346029,1300361,507535863
31937,"REMBALCOM, SA",PRODUcaO E LANcAMENTO DOIS NOVOS PRODUTOS E ADOPcaO DE UM NOVO PROCESSO DE EXTRUSaO,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,IAPMEI,Barcelos,Norte,Industria,"22292 - Fabricacao de outros artigos de plastico, ne",,20-Mar-13,18195264,10007395,506592871
31952,"AVENTURA SINGULAR - TURISMO DE MONTANHA, LDA",CRIAcaO DE ALDEAMENTO TURiSTICO INOVADOR E DIFERENCIADOR,SI Inovacao/Inovacao Produtiva,12/SI/2012,PO FC,TP,Vieira do Minho,Norte,Turismo,55117 - Aldeamentos turisticos com restaurante,,20-Mar-13,1650295,1061987,510049826
